,Country_Name,Country_Code,Year,Season,Population,GDP,GDP_Per_Capita,Y_Gold,Y_Silver,Y_Bronze,Y_Total,A_Gold,A_Silver,A_Bronze,A_Total,Y_Capita_Per_Medal,A_Capita_Per_Medal,Y_Capita_Per_GDP,A_Capita_Per_GDP,A_Score,Y_Score,Y_Score_Per_Capita,A_Score_Per_Capita
237,"Korea, Rep.",KOR,1968,Summer,30838302.0,6119284293.975996,198.431298,0.0,1.0,1.0,2.0,0.0,3.0,2.0,5.0,6.485441383899801e-08,1.6213603459749504e-07,3.2683560755117374e-10,8.170890188779344e-10,8.0,3.0,10279434.0,3854787.75
281,Kyrgyz Republic,KGZ,1968,Summer,2818300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
245,Lebanon,LBN,1968,Summer,2262291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
246,Liechtenstein,LIE,1968,Summer,20011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
262,Lithuania,LTU,1968,Summer,3078850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
263,Luxembourg,LUX,1968,Summer,335850.0,1066447130.8786501,3175.367369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Mexico,MEX,1968,Summer,47170337.0,29359999997.824368,622.4250634,3.0,3.0,3.0,9.0,3.0,3.0,5.0,11.0,1.9079787367217666e-07,2.3319740115488256e-07,3.065395095594999e-10,3.746594005727221e-10,20.0,18.0,2620574.277777778,2358516.85
278,Moldova,MDA,1968,Summer,2400264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
291,Montenegro,MNE,1968,Summer,517481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
218,Morocco,MAR,1968,Summer,14490077.0,3256630434.4916315,224.7490082,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.901274575697562e-08,0.0,3.0706585230205975e-10,2.0,0.0,0.0,7245038.5
