Country_Name,Country_Code,Year,Population,Gold,Silver,Bronze,Total_Medals
Estonia,EST,2004,1362550.0,0,1,2,3
Ethiopia,ETH,2004,75301026.0,2,3,2,7
Finland,FIN,2004,5228172.0,0,2,0,2
France,FRA,2004,62716306.0,11,9,13,33
United Kingdom,GBR,2004,59987905.0,9,9,12,30
Georgia,GEO,2004,3927340.0,2,2,0,4
"Hong Kong SAR, China",HKG,2004,6783500.0,0,1,0,1
Hungary,HUN,2004,10107146.0,8,6,3,17
India,IND,2004,1136264583.0,0,1,0,1
Israel,ISR,2004,6809000.0,1,0,1,2
Italy,ITA,2004,57685327.0,10,11,11,32
Jamaica,JAM,2004,2664024.0,2,1,2,5
Japan,JPN,2004,127761000.0,16,9,12,37
Kazakhstan,KAZ,2004,15012984.0,1,4,3,8
Kenya,KEN,2004,34791836.0,1,4,2,7
"Korea, Rep.",KOR,2004,48082519.0,9,12,9,30
Lithuania,LTU,2004,3377075.0,1,2,0,3
Morocco,MAR,2004,30033125.0,2,1,0,3
Mexico,MEX,2004,103945813.0,0,3,1,4
Norway,NOR,2004,4591910.0,5,0,1,6
New Zealand,NZL,2004,4087500.0,3,2,0,5
Poland,POL,2004,38182222.0,3,2,5,10
"Korea, Dem. People's Rep.",PRK,2004,23948930.0,0,4,1,5
Romania,ROU,2004,21451748.0,8,5,6,19
Russian Federation,RUS,2004,144067316.0,28,26,36,90
Slovak Republic,SVK,2004,5372280.0,2,2,2,6
Sweden,SWE,2004,8993531.0,4,2,1,7
Syrian Arab Republic,SYR,2004,18084007.0,0,0,1,1
Thailand,THA,2004,65311166.0,3,1,4,8
Trinidad and Tobago,TTO,2004,1361172.0,0,0,1,1
Turkiye,TUR,2004,67785075.0,3,3,4,10
Ukraine,UKR,2004,47451626.0,8,5,9,22
United States,USA,2004,292805298.0,36,39,26,101
Uzbekistan,UZB,2004,25864350.0,2,1,2,5
"Venezuela, RB",VEN,2004,26226927.0,0,0,2,2
Afghanistan,AFG,2008,26427199.0,0,0,1,1
Argentina,ARG,2008,40273769.0,2,0,4,6
Armenia,ARM,2008,2983421.0,0,1,4,5
Australia,AUS,2008,21249199.0,14,15,17,46
Austria,AUT,2008,8321496.0,0,1,2,3
Azerbaijan,AZE,2008,8763400.0,1,1,4,6
Belgium,BEL,2008,10709973.0,2,0,0,2
Belarus,BLR,2008,9527985.0,3,4,7,14
Brazil,BRA,2008,192672317.0,3,4,10,17
Canada,CAN,2008,33247118.0,3,9,8,20
Channel Islands,CHI,2008,154475.0,0,1,0,1
China,CHN,2008,1324655000.0,48,22,30,100
Cameroon,CMR,2008,18777081.0,1,0,0,1
Colombia,COL,2008,43815313.0,0,2,1,3
Cuba,CUB,2008,11276609.0,3,10,17,30
Czechia,CZE,2008,10384603.0,3,3,1,7
Dominican Republic,DOM,2008,9522948.0,1,1,0,2
Ecuador,ECU,2008,14496797.0,0,1,0,1
"Egypt, Arab Rep.",EGY,2008,83844783.0,0,0,2,2
Spain,ESP,2008,45954106.0,5,11,3,19
Estonia,EST,2008,1337090.0,1,1,0,2
Ethiopia,ETH,2008,84357105.0,4,2,1,7
Finland,FIN,2008,5313399.0,1,1,2,4
France,FRA,2008,64379696.0,7,16,20,43
United Kingdom,GBR,2008,61806995.0,19,13,19,51
Georgia,GEO,2008,3848449.0,3,2,2,7
Hungary,HUN,2008,10038188.0,3,5,2,10
India,IND,2008,1206734806.0,1,0,2,3
Ireland,IRL,2008,4489544.0,0,1,2,3
Iceland,ISL,2008,317414.0,0,1,0,1
Israel,ISR,2008,7308800.0,0,0,1,1
Italy,ITA,2008,58826731.0,8,9,10,27
Jamaica,JAM,2008,2711373.0,5,4,2,11
Japan,JPN,2008,128063000.0,9,8,8,25
Kazakhstan,KAZ,2008,15776938.0,2,3,4,9
Kenya,KEN,2008,39186895.0,6,4,6,16
Kyrgyz Republic,KGZ,2008,5318700.0,0,1,2,3
"Korea, Rep.",KOR,2008,49054708.0,13,11,8,32
Lithuania,LTU,2008,3198231.0,0,3,2,5
Morocco,MAR,2008,31634992.0,0,1,1,2
Moldova,MDA,2008,2868833.0,0,0,1,1
Mexico,MEX,2008,109684489.0,2,0,2,4
Norway,NOR,2008,4768212.0,3,5,1,9
New Zealand,NZL,2008,4259800.0,3,2,4,9
Panama,PAN,2008,3495276.0,1,0,0,1
Poland,POL,2008,38125759.0,4,5,2,11
"Korea, Dem. People's Rep.",PRK,2008,24469047.0,2,2,2,6
Romania,ROU,2008,20537875.0,4,1,4,9
Russian Federation,RUS,2008,142742366.0,24,13,23,60
Singapore,SGP,2008,4839396.0,0,1,0,1
Serbia,SRB,2008,7350222.0,0,1,2,3
Slovak Republic,SVK,2008,5379233.0,3,3,0,6
Sweden,SWE,2008,9219637.0,0,4,1,5
Thailand,THA,2008,67328239.0,2,2,2,6
Tajikistan,TJK,2008,7324627.0,0,1,1,2
Trinidad and Tobago,TTO,2008,1392803.0,1,1,0,2
Tunisia,TUN,2008,10680380.0,1,0,0,1
Turkiye,TUR,2008,71320726.0,1,1,3,5
Ukraine,UKR,2008,46258189.0,7,4,11,22
United States,USA,2008,304093966.0,36,39,37,112
Uzbekistan,UZB,2008,27302800.0,0,1,3,4
"Venezuela, RB",VEN,2008,27933833.0,0,0,1,1
Afghanistan,AFG,2012,30466479.0,0,0,1,1
Argentina,ARG,2012,41733271.0,1,1,2,4
Armenia,ARM,2012,2914421.0,0,1,1,2
Australia,AUS,2012,22733465.0,8,15,12,35
Azerbaijan,AZE,2012,9295784.0,2,2,5,9
