Country_Name,Country_Code,Year,Population,Gold,Silver,Bronze,Total_Medals,Season
Syrian Arab Republic,SYR,1996,14708879.0,1,0,0,1,Summer
Thailand,THA,1996,60211096.0,1,0,1,2,Summer
Trinidad and Tobago,TTO,1996,1313434.0,0,0,2,2,Summer
Tunisia,TUN,1996,9430550.0,0,0,1,1,Summer
Turkiye,TUR,1996,60293786.0,4,1,1,6,Summer
Uganda,UGA,1996,21249572.0,0,0,1,1,Summer
Ukraine,UKR,1996,51057800.0,9,2,12,23,Summer
United States,USA,1996,269394000.0,44,32,25,101,Summer
Uzbekistan,UZB,1996,23225000.0,0,1,1,2,Summer
Australia,AUS,1998,18607584.0,0,0,1,1,Winter
Austria,AUT,1998,7976789.0,3,5,9,17,Winter
Belgium,BEL,1998,10203008.0,0,0,1,1,Winter
Belarus,BLR,1998,10071963.0,0,0,2,2,Winter
Canada,CAN,1998,30155173.0,6,5,4,15,Winter
China,CHN,1998,1241935000.0,0,6,2,8,Winter
Czechia,CZE,1998,10294373.0,1,1,1,3,Winter
Finland,FIN,1998,5153498.0,2,4,6,12,Winter
