Country_Name,Country_Code,Year,GDP,Gold,Silver,Bronze,Total_Medals,Season
Poland,POL,1996,4147.465501,7,5,5,17,Summer
"Korea, Dem. People's Rep.",PRK,1996,,2,1,2,5,Summer
Romania,ROU,1996,1633.010644,4,7,9,20,Summer
Russian Federation,RUS,1996,2643.929199,26,21,16,63,Summer
Slovak Republic,SVK,1996,5196.94038,1,1,1,3,Summer
Sweden,SWE,1996,32998.96816,2,4,2,8,Summer
Syrian Arab Republic,SYR,1996,4184.29444,1,0,0,1,Summer
Thailand,THA,1996,3039.8901,1,0,1,2,Summer
Trinidad and Tobago,TTO,1996,4385.0987,0,0,2,2,Summer
Tunisia,TUN,1996,2077.007469,0,0,1,1,Summer
Turkiye,TUR,1996,3009.855034,4,1,1,6,Summer
Uganda,UGA,1996,284.4568035,0,0,1,1,Summer
Ukraine,UKR,1996,872.6987305,9,2,12,23,Summer
United States,USA,1996,29967.71272,44,32,25,101,Summer
Uzbekistan,UZB,1996,600.5981578,0,1,1,2,Summer
Argentina,ARG,2000,7666.517834,0,2,2,4,Summer
Armenia,ARM,2000,603.2980252,0,0,1,1,Summer
Australia,AUS,2000,21853.78167,16,25,17,58,Summer
Austria,AUT,2000,24625.60072,2,1,0,3,Summer
Azerbaijan,AZE,2000,655.1199452,2,0,1,3,Summer
Belgium,BEL,2000,23098.88651,0,2,3,5,Summer
Belarus,BLR,2000,1276.288034,3,3,11,17,Summer
Brazil,BRA,2000,3726.81142,0,6,6,12,Summer
Canada,CAN,2000,24271.00206,3,3,8,14,Summer
Channel Islands,CHI,2000,44316.15359,0,0,1,1,Summer
China,CHN,2000,959.3724836,28,16,14,58,Summer
Cameroon,CMR,2000,700.1632136,1,0,0,1,Summer
Colombia,COL,2000,2547.143528,1,0,0,1,Summer
Cuba,CUB,2000,2752.203783,11,11,7,29,Summer
Czechia,CZE,2000,6029.038193,2,3,3,8,Summer
Spain,ESP,2000,14749.68742,3,3,5,11,Summer
Estonia,EST,2000,4070.609024,1,0,2,3,Summer
Ethiopia,ETH,2000,122.9622935,4,1,3,8,Summer
Finland,FIN,2000,24345.91482,2,1,1,4,Summer
France,FRA,2000,22416.42542,13,14,11,38,Summer
United Kingdom,GBR,2000,28290.9725,11,10,7,28,Summer
Georgia,GEO,2000,749.908535,0,0,6,6,Summer
Hungary,HUN,2000,4624.281657,8,6,3,17,Summer
India,IND,2000,442.0347789,0,0,1,1,Summer
Ireland,IRL,2000,26334.56721,0,1,0,1,Summer
Iceland,ISL,2000,32096.37226,0,0,1,1,Summer
Israel,ISR,2000,21630.74761,0,0,1,1,Summer
Italy,ITA,2000,20137.59122,13,8,13,34,Summer
Jamaica,JAM,2000,3447.303896,0,6,3,9,Summer
Japan,JPN,2000,39169.35957,5,8,5,18,Summer
Kazakhstan,KAZ,2000,1229.001247,3,4,0,7,Summer
Kenya,KEN,2000,411.8215792,2,3,2,7,Summer
Kyrgyz Republic,KGZ,2000,279.6195693,0,0,1,1,Summer
"Korea, Rep.",KOR,2000,12256.99357,8,10,10,28,Summer
Lithuania,LTU,2000,3293.229979,2,0,3,5,Summer
Morocco,MAR,2000,1348.049805,0,1,4,5,Summer
Moldova,MDA,2000,440.538684,0,1,1,2,Summer
Mexico,MEX,2000,7232.878809,1,2,3,6,Summer
North Macedonia,MKD,2000,1861.898065,0,0,1,1,Summer
Mozambique,MOZ,2000,318.3426885,1,0,0,1,Summer
Norway,NOR,2000,38131.46061,4,3,3,10,Summer
New Zealand,NZL,2000,13641.10272,1,0,3,4,Summer
Poland,POL,2000,4501.454067,6,5,3,14,Summer
"Korea, Dem. People's Rep.",PRK,2000,,0,1,3,4,Summer
Qatar,QAT,2000,27494.77133,0,0,1,1,Summer
Romania,ROU,2000,1659.90764,11,6,9,26,Summer
Russian Federation,RUS,2000,1771.594116,32,28,29,89,Summer
Slovak Republic,SVK,2000,5426.624281,1,3,1,5,Summer
Sweden,SWE,2000,29624.91267,4,5,3,12,Summer
Thailand,THA,2000,2004.107209,1,0,2,3,Summer
