Country_Name,Year,Country_Code,Gold,Silver,Bronze,Total,Season,GDP,Population,Gold_Net,Silver_Net,Bronze_Net,Total_Net
Iceland,1964,ISL,0.0,0.0,0.0,0.0,0,2297920.643,188983.0,0.0,0.0,0.0,0.0
Ghana,1964,GHA,0.0,0.0,1.0,1.0,Summer,226576.967,7640196.0,0.0,1.0,1.0,2.0
Hungary,1964,HUN,10.0,7.0,5.0,22.0,Summer,,10119835.0,16.0,15.0,12.0,43.0
Israel,1964,ISR,0.0,0.0,0.0,0.0,0,1375892.256,2475000.0,0.0,0.0,0.0,0.0
Kazakhstan,1964,KAZ,0.0,0.0,0.0,0.0,0,,10590934.0,0.0,0.0,0.0,0.0
Kenya,1964,KEN,0.0,0.0,1.0,1.0,Summer,110392.0208,9047387.0,0.0,0.0,1.0,1.0
Estonia,1964,EST,0.0,0.0,0.0,0.0,0,,1277086.0,0.0,0.0,0.0,0.0
Pakistan,1964,PAK,0.0,1.0,0.0,1.0,Summer,102961.2072,50552592.0,1.0,1.0,1.0,3.0
Guyana,1964,GUY,0.0,0.0,0.0,0.0,0,306268.1547,635957.0,0.0,0.0,0.0,0.0
Cuba,1964,CUB,0.0,1.0,0.0,1.0,Summer,,7902286.0,0.0,1.0,0.0,1.0
North Macedonia,1964,MKD,0.0,0.0,0.0,0.0,0,,1529507.0,0.0,0.0,0.0,0.0
New Zealand,1964,NZL,3.0,0.0,2.0,5.0,Summer,2813546.9760000003,2585400.0,5.0,0.0,3.0,8.0
Cyprus,1964,CYP,0.0,0.0,0.0,0.0,0,,612338.0,0.0,0.0,0.0,0.0
Namibia,1964,NAM,0.0,0.0,0.0,0.0,0,,642054.0,0.0,0.0,0.0,0.0
Djibouti,1964,DJI,0.0,0.0,0.0,0.0,0,,102945.0,0.0,0.0,0.0,0.0
Mozambique,1964,MOZ,0.0,0.0,0.0,0.0,0,,7363639.0,0.0,0.0,0.0,0.0
Morocco,1964,MAR,0.0,0.0,0.0,0.0,0,213755.5542,13044254.0,0.0,1.0,0.0,1.0
