,Country_Name,Country_Code,Season,Year,GDP,Population,GDP_per_capita,Gold,Silver,Bronze,Total_Medals,Gold_Score,Silver_Score,Bronze_Score,Total_Score,Medals_per_GDP
172,Belgium,BEL,Summer,1972,3831631.9,9711115.0,0.3945614792946021,0,2,0,2,0,6,0,6,1.5659124249383142e-06
173,Brazil,BRA,Summer,1972,577451.5371999999,101194394.0,0.005706358962928321,0,0,2,2,0,0,6,6,1.0390482340896262e-05
174,Canada,CAN,Summer,1972,5089587.902,22218463.0,0.2290702062514405,0,2,3,5,0,6,9,15,2.947193424855795e-06
175,Canada,CAN,Summer,1972,5089587.902,22218463.0,0.2290702062514405,0,2,3,5,0,6,9,15,2.947193424855795e-06
176,Canada,CAN,Winter,1972,5089587.902,22218463.0,0.2290702062514405,0,1,0,1,0,3,0,3,5.89438684971159e-07
177,Canada,CAN,Winter,1972,5089587.902,22218463.0,0.2290702062514405,0,1,0,1,0,3,0,3,5.89438684971159e-07
178,Colombia,COL,Summer,1972,395987.6223,21898055.0,0.018083232611298128,0,1,2,3,0,3,6,9,2.2727983131709114e-05
179,Cuba,CUB,Summer,1972,887217.1977,9169289.0,0.09675965036111306,3,1,4,8,9,3,12,24,2.7050873294856104e-05
180,Spain,ESP,Summer,1972,1708808.6290000002,34604469.0,0.049381154468805755,0,0,1,1,0,0,3,3,1.7556091121541263e-06
181,Spain,ESP,Summer,1972,1708808.6290000002,34604469.0,0.049381154468805755,0,0,1,1,0,0,3,3,1.7556091121541263e-06
182,Spain,ESP,Winter,1972,1708808.6290000002,34604469.0,0.049381154468805755,1,0,0,1,3,0,0,3,1.7556091121541263e-06
183,Spain,ESP,Winter,1972,1708808.6290000002,34604469.0,0.049381154468805755,1,0,0,1,3,0,0,3,1.7556091121541263e-06
184,Ethiopia,ETH,Summer,1972,0.0,29891328.0,0.0,0,0,2,2,0,0,6,6,0.0
185,Finland,FIN,Summer,1972,3177645.701,4639657.0,0.6848880641392241,3,1,4,8,9,3,12,24,7.552761465020232e-06
186,Finland,FIN,Summer,1972,3177645.701,4639657.0,0.6848880641392241,3,1,4,8,9,3,12,24,7.552761465020232e-06
187,Finland,FIN,Winter,1972,3177645.701,4639657.0,0.6848880641392241,0,4,1,5,0,12,3,15,4.720475915637645e-06
188,Finland,FIN,Winter,1972,3177645.701,4639657.0,0.6848880641392241,0,4,1,5,0,12,3,15,4.720475915637645e-06
189,France,FRA,Summer,1972,3865925.4,52637888.0,0.073443778747354,2,4,7,13,6,12,21,39,1.0088140862728495e-05
190,France,FRA,Summer,1972,3865925.4,52637888.0,0.073443778747354,2,4,7,13,6,12,21,39,1.0088140862728495e-05
191,France,FRA,Winter,1972,3865925.4,52637888.0,0.073443778747354,0,1,2,3,0,3,6,9,2.3280325067834987e-06
192,France,FRA,Winter,1972,3865925.4,52637888.0,0.073443778747354,0,1,2,3,0,3,6,9,2.3280325067834987e-06
193,United Kingdom,GBR,Summer,1972,3030432.514,56086065.0,0.05403182615860107,4,5,9,18,12,15,27,54,1.781923859070633e-05
194,Ghana,GHA,Summer,1972,225528.9099,9365952.0,0.0240796568143847,0,0,1,1,0,0,3,3,1.3302064029530434e-05
195,Hungary,HUN,Summer,1972,0.0,10398489.0,0.0,6,13,16,35,18,39,48,105,0.0
196,India,IND,Summer,1972,122612.45340000001,582837973.0,0.00021037142238499964,0,0,1,1,0,0,3,3,2.4467335224204882e-05
197,Italy,ITA,Summer,1972,2671137.3140000002,54381345.0,0.049118632759083104,5,3,10,18,15,9,30,54,2.0216107841770054e-05
198,Italy,ITA,Summer,1972,2671137.3140000002,54381345.0,0.049118632759083104,5,3,10,18,15,9,30,54,2.0216107841770054e-05
199,Italy,ITA,Winter,1972,2671137.3140000002,54381345.0,0.049118632759083104,2,2,1,5,6,6,3,15,5.615585511602792e-06
200,Italy,ITA,Winter,1972,2671137.3140000002,54381345.0,0.049118632759083104,2,2,1,5,6,6,3,15,5.615585511602792e-06
201,Jamaica,JAM,Summer,1972,978984.9312999999,1915299.0,0.511139478118038,0,0,1,1,0,0,3,3,3.0643985459676915e-06
202,Japan,JPN,Summer,1972,2967041.996,107188000.0,0.02768072914878531,13,8,8,29,39,24,24,87,2.9322132992147915e-05
203,Japan,JPN,Summer,1972,2967041.996,107188000.0,0.02768072914878531,13,8,8,29,39,24,24,87,2.9322132992147915e-05
