,Country_Name,Gold,Silver,Bronze,Total_Medals,Year,Cumulative,Gold_Cumulative,Silver_Cumulative,Bronze_Cumulative
728,Estonia,1,0,1,2,1992-01-01,23,7,6,10
740,Islamic Republic of Iran,0,1,2,3,1992-01-01,33,4,12,17
733,Latvia,0,2,1,3,1992-01-01,6,0,4,2
741,Israel,0,1,1,2,1992-01-01,2,0,1,1
750,Malaysia,0,0,1,1,1992-01-01,1,0,0,1
743,Mexico,0,1,0,1,1992-01-01,40,9,13,18
744,Peru,0,1,0,1,1992-01-01,4,1,3,0
745,Mongolia,0,0,2,2,1992-01-01,13,0,5,8
746,Slovenia,0,0,2,2,1992-01-01,2,0,0,2
747,Argentina,0,0,1,1,1992-01-01,47,13,19,15
748,Colombia,0,0,1,1,1992-01-01,6,0,2,4
749,Ghana,0,0,1,1,1992-01-01,4,0,1,3
727,Algeria,1,0,1,2,1992-01-01,4,1,0,3
751,Pakistan,0,0,1,1,1992-01-01,10,3,3,4
752,Philippines,0,0,1,1,1992-01-01,8,0,1,7
753,Puerto Rico,0,0,1,1,1992-01-01,5,0,1,4
754,Qatar,0,0,1,1,1992-01-01,1,0,0,1
755,Suriname,0,0,1,1,1992-01-01,2,1,0,1
756,Thailand,0,0,1,1,1992-01-01,4,0,1,3
742,Chinese Taipei,0,1,0,1,1992-01-01,4,0,2,2
726,Ethiopia,1,0,2,3,1992-01-01,13,6,1,6
717,Indonesia,2,2,1,5,1992-01-01,6,2,3,1
724,Morocco,1,1,1,3,1992-01-01,9,4,2,3
694,Unified Team,45,38,29,112,1992-01-01,112,45,38,29
695,United States,37,34,37,108,1992-01-01,2028,825,647,556
696,Germany,33,21,28,82,1992-01-01,492,151,172,169
697,People's Republic of China,16,22,16,54,1992-01-01,114,36,41,37
698,Cuba,14,6,11,31,1992-01-01,83,35,25,23
699,Spain,13,7,2,22,1992-01-01,49,19,19,11
700,Republic of Korea,12,5,12,29,1992-01-01,99,31,27,41
701,Hungary,11,12,7,30,1992-01-01,403,134,123,146
702,France,8,5,16,29,1992-01-01,552,167,179,206
703,Australia,7,9,11,27,1992-01-01,236,73,72,91
704,Canada,7,4,7,18,1992-01-01,236,58,78,100
705,Italy,6,5,8,19,1992-01-01,437,165,134,138
706,Great Britain,5,3,12,20,1992-01-01,621,180,225,216
707,Romania,4,6,8,18,1992-01-01,220,59,70,91
725,Ireland,1,1,0,2,1992-01-01,18,5,6,7
708,Czechoslovakia,4,2,1,7,1992-01-01,168,51,58,59
710,Japan,3,8,11,22,1992-01-01,275,91,87,97
711,Bulgaria,3,7,6,16,1992-01-01,168,40,69,59
712,Poland,3,6,10,19,1992-01-01,222,47,65,110
713,Netherlands,2,6,7,15,1992-01-01,214,60,70,84
714,Kenya,2,4,2,8,1992-01-01,39,13,13,13
715,Norway,2,4,1,7,1992-01-01,279,93,98,88
716,Türkiye,2,2,2,6,1992-01-01,53,26,15,12
757,The Bahamas,0,0,1,1,1992-01-01,3,1,0,2
718,Brazil,2,1,0,3,1992-01-01,39,9,10,20
719,Greece,2,0,0,2,1992-01-01,70,17,25,28
720,Sweden,1,7,4,12,1992-01-01,531,163,170,198
721,New Zealand,1,4,5,10,1992-01-01,62,26,10,26
722,Finland,1,2,2,5,1992-01-01,400,132,122,146
723,Denmark,1,1,4,6,1992-01-01,151,31,61,59
709,Democratic People's Republic of Korea,4,0,5,9,1992-01-01,22,6,6,10
1569,New Zealand,0,1,0,1,1992-01-01,63,26,11,26
1561,Canada,2,3,2,7,1992-01-01,243,60,81,102
1554,Unified Team,9,6,8,23,1992-01-01,135,54,44,37
1572,Spain,0,0,1,1,1992-01-01,50,19,19,12
1571,Democratic People's Republic of Korea,0,0,1,1,1992-01-01,23,6,6,11
1553,Germany,10,10,6,26,1992-01-01,518,161,182,175
1555,Norway,9,6,5,20,1992-01-01,299,102,104,93
1556,Austria,6,7,8,21,1992-01-01,197,51,74,72
1557,United States,5,4,2,11,1992-01-01,2039,830,651,558
1559,France,3,5,1,9,1992-01-01,561,170,184,207
1558,Italy,4,6,4,14,1992-01-01,451,169,140,142
1570,Czechoslovakia,0,0,3,3,1992-01-01,171,51,58,62
1562,Republic of Korea,2,1,1,4,1992-01-01,103,33,28,42
1563,Japan,1,2,4,7,1992-01-01,282,92,89,101
1564,Netherlands,1,1,2,4,1992-01-01,218,61,71,86
1565,Sweden,1,0,3,4,1992-01-01,535,164,170,201
1566,Switzerland,1,0,2,3,1992-01-01,237,65,90,82
1567,People's Republic of China,0,3,0,3,1992-01-01,117,36,44,37
1560,Finland,3,1,3,7,1992-01-01,407,135,123,149
1589,France,0,1,4,5,1994-01-01,566,170,185,211
1586,Uzbekistan,1,0,0,1,1994-01-01,1,1,0,0
1587,Belarus,0,2,0,2,1994-01-01,2,0,2,0
1588,Finland,0,1,5,6,1994-01-01,413,135,124,154
1590,Netherlands,0,1,3,4,1994-01-01,222,61,72,89
1583,Japan,1,2,2,5,1994-01-01,287,93,91,103
1592,Slovenia,0,0,3,3,1994-01-01,5,0,0,5
1593,Great Britain,0,0,2,2,1994-01-01,623,180,225,218
1594,Australia,0,0,1,1,1994-01-01,237,73,72,92
1585,Ukraine,1,0,1,2,1994-01-01,2,1,0,1
1591,People's Republic of China,0,1,2,3,1994-01-01,120,36,45,39
1584,Kazakhstan,1,2,0,3,1994-01-01,3,1,2,0
1578,Republic of Korea,4,1,1,6,1994-01-01,109,37,29,43
1582,Sweden,2,1,0,3,1994-01-01,538,166,171,201
1573,Russian Federation,11,8,4,23,1994-01-01,31,12,12,7
1575,Germany,9,7,8,24,1994-01-01,542,170,189,183
1576,Italy,7,5,8,20,1994-01-01,471,176,145,150
1577,United States,6,5,2,13,1994-01-01,2052,836,656,560
1574,Norway,10,11,5,26,1994-01-01,325,112,115,98
1579,Canada,3,6,4,13,1994-01-01,256,63,87,106
1580,Switzerland,3,4,2,9,1994-01-01,246,68,94,84
1581,Austria,2,3,4,9,1994-01-01,206,53,77,76
821,Philippines,0,1,0,1,1996-01-01,9,0,2,7
822,The Bahamas,0,1,0,1,1996-01-01,4,1,1,2
823,Tonga,0,1,0,1,1996-01-01,1,0,1,0
824,Zambia,0,1,0,1,1996-01-01,2,0,1,1
825,Georgia,0,0,2,2,1996-01-01,2,0,0,2
826,Morocco,0,0,2,2,1996-01-01,11,4,2,5
827,Trinidad and Tobago,0,0,2,2,1996-01-01,9,1,2,6
828,India,0,0,1,1,1996-01-01,15,8,3,4
816,Republic of Moldova,0,1,1,2,1996-01-01,2,0,1,1
817,Uzbekistan,0,1,1,2,1996-01-01,3,1,1,1
831,Mexico,0,0,1,1,1996-01-01,41,9,13,19
832,Mongolia,0,0,1,1,1996-01-01,14,0,5,9
833,Mozambique,0,0,1,1,1996-01-01,1,0,0,1
834,Puerto Rico,0,0,1,1,1996-01-01,6,0,1,5
835,Tunisia,0,0,1,1,1996-01-01,6,1,2,3
836,Uganda,0,0,1,1,1996-01-01,6,1,3,2
820,Latvia,0,1,0,1,1996-01-01,7,0,5,2
829,Israel,0,0,1,1,1996-01-01,3,0,1,2
819,Chinese Taipei,0,1,0,1,1996-01-01,5,0,3,2
830,Lithuania,0,0,1,1,1996-01-01,3,1,0,2
759,Russian Federation,26,21,16,63,1996-01-01,94,38,33,23
794,Belarus,1,6,8,15,1996-01-01,17,1,8,8
793,Great Britain,1,8,6,15,1996-01-01,638,181,233,224
792,Ethiopia,2,0,1,3,1996-01-01,16,8,1,7
791,Algeria,2,0,1,3,1996-01-01,7,3,0,4
790,Democratic People's Republic of Korea,2,1,2,5,1996-01-01,28,8,7,13
789,Nigeria,2,1,3,6,1996-01-01,14,2,5,7
818,Azerbaijan,0,1,0,1,1996-01-01,1,0,1,0
787,Norway,2,2,3,7,1996-01-01,332,114,117,101
786,Sweden,2,4,2,8,1996-01-01,546,168,175,203
785,Ireland,3,0,1,4,1996-01-01,22,8,6,8
784,South Africa,3,1,1,5,1996-01-01,60,19,19,22
783,New Zealand,3,2,1,6,1996-01-01,69,29,13,27
782,Brazil,3,3,9,15,1996-01-01,54,12,13,29
781,Kazakhstan,3,4,4,11,1996-01-01,14,4,6,4
780,Japan,3,6,5,14,1996-01-01,301,96,97,108
779,Bulgaria,3,7,5,15,1996-01-01,183,43,76,64
778,Canada,3,11,8,22,1996-01-01,278,66,98,114
795,Kenya,1,4,3,8,1996-01-01,47,14,17,16
777,Türkiye,4,1,1,6,1996-01-01,59,30,16,13
796,Jamaica,1,3,2,6,1996-01-01,30,5,16,9
798,Indonesia,1,1,2,4,1996-01-01,10,3,4,3
815,Malaysia,0,1,1,2,1996-01-01,3,0,1,2
814,Austria,0,1,2,3,1996-01-01,209,53,78,78
813,Slovenia,0,2,0,2,1996-01-01,7,0,2,5
812,Namibia,0,2,0,2,1996-01-01,4,0,4,0
811,Argentina,0,2,1,3,1996-01-01,50,13,21,16
810,Syrian Arab Republic,1,0,0,1,1996-01-01,2,1,1,0
809,"Hong Kong, China",1,0,0,1,1996-01-01,1,1,0,0
808,Ecuador,1,0,0,1,1996-01-01,1,1,0,0
807,Costa Rica,1,0,0,1,1996-01-01,2,1,1,0
806,Burundi,1,0,0,1,1996-01-01,1,1,0,0
805,Thailand,1,0,1,2,1996-01-01,6,1,1,4
804,Portugal,1,0,1,2,1996-01-01,15,3,4,8
803,Croatia,1,1,0,2,1996-01-01,5,1,2,2
802,Armenia,1,1,0,2,1996-01-01,2,1,1,0
801,Slovakia,1,1,1,3,1996-01-01,3,1,1,1
800,Islamic Republic of Iran,1,1,1,3,1996-01-01,36,5,13,18
799,Serbia and Montenegro,1,1,2,4,1996-01-01,4,1,1,2
797,Finland,1,2,1,4,1996-01-01,417,136,126,155
758,United States,44,32,25,101,1996-01-01,2153,880,688,585
788,Belgium,2,2,2,6,1996-01-01,144,39,52,53
768,Poland,7,5,5,17,1996-01-01,239,54,70,115
773,Greece,4,4,0,8,1996-01-01,78,21,29,28
772,Netherlands,4,5,10,19,1996-01-01,241,65,77,99
771,Romania,4,7,9,20,1996-01-01,240,63,77,100
770,Spain,5,6,6,17,1996-01-01,67,24,25,18
769,Hungary,7,4,10,21,1996-01-01,424,141,127,156
776,Denmark,4,1,1,6,1996-01-01,157,35,62,60
774,Czech Republic,4,3,4,11,1996-01-01,11,4,3,4
767,Republic of Korea,7,15,5,27,1996-01-01,136,44,44,48
765,Cuba,9,8,8,25,1996-01-01,108,44,33,31
764,Australia,9,9,23,41,1996-01-01,278,82,81,115
763,Italy,13,10,12,35,1996-01-01,506,189,155,162
762,France,15,7,15,37,1996-01-01,603,185,192,226
761,People's Republic of China,16,22,12,50,1996-01-01,170,52,67,51
760,Germany,20,18,27,65,1996-01-01,607,190,207,210
766,Ukraine,9,2,12,23,1996-01-01,25,10,2,13
775,Switzerland,4,3,0,7,1996-01-01,253,72,97,84
1597,Russian Federation,9,6,3,18,1998-01-01,112,47,39,26
1618,Great Britain,0,0,1,1,1998-01-01,639,181,233,225
1596,Norway,10,10,5,25,1998-01-01,357,124,127,106
1617,Belgium,0,0,1,1,1998-01-01,145,39,52,54
1615,Kazakhstan,0,0,2,2,1998-01-01,16,4,6,6
1598,Canada,6,5,4,15,1998-01-01,293,72,103,118
1599,United States,6,3,4,13,1998-01-01,2166,886,691,589
1600,Netherlands,5,4,2,11,1998-01-01,252,70,81,101
1601,Japan,5,1,4,10,1998-01-01,311,101,98,112
1602,Austria,3,5,9,17,1998-01-01,226,56,83,87
1603,Republic of Korea,3,1,2,6,1998-01-01,142,47,45,50
1604,Italy,2,6,2,10,1998-01-01,516,191,161,164
1605,Finland,2,4,6,12,1998-01-01,429,138,130,161
1606,Switzerland,2,2,3,7,1998-01-01,260,74,99,87
1607,France,2,1,5,8,1998-01-01,611,187,193,231
1608,Czech Republic,1,1,1,3,1998-01-01,14,5,4,5
1609,Bulgaria,1,0,0,1,1998-01-01,184,44,76,64
1610,People's Republic of China,0,6,2,8,1998-01-01,178,52,73,53
1611,Sweden,0,2,1,3,1998-01-01,549,168,177,204
1612,Denmark,0,1,0,1,1998-01-01,158,35,63,60
1613,Ukraine,0,1,0,1,1998-01-01,26,10,3,13
1614,Belarus,0,0,2,2,1998-01-01,19,1,8,10
1616,Australia,0,0,1,1,1998-01-01,279,82,81,116
1595,Germany,12,9,8,29,1998-01-01,636,202,216,218
889,Brazil,0,6,6,12,2000-01-01,66,12,19,35
890,Jamaica,0,6,3,9,2000-01-01,39,5,22,12
861,Spain,3,3,5,11,2000-01-01,78,27,28,23
862,Türkiye,3,0,2,5,2000-01-01,64,33,16,15
863,Islamic Republic of Iran,3,0,1,4,2000-01-01,40,8,13,19
864,Czech Republic,2,3,3,8,2000-01-01,22,7,7,8
865,Kenya,2,3,2,7,2000-01-01,54,16,20,18
866,Denmark,2,3,1,6,2000-01-01,164,37,66,61
867,Finland,2,1,1,4,2000-01-01,433,140,131,162
868,Austria,2,1,0,3,2000-01-01,229,58,84,87
869,Lithuania,2,0,3,5,2000-01-01,8,3,0,5
870,Azerbaijan,2,0,1,3,2000-01-01,4,2,1,1
871,The Bahamas,2,0,1,3,2000-01-01,7,3,1,3
872,Slovenia,2,0,0,2,2000-01-01,9,2,2,5
873,Switzerland,1,6,2,9,2000-01-01,269,75,105,89
874,Indonesia,1,3,2,6,2000-01-01,16,4,7,5
875,Slovakia,1,3,1,5,2000-01-01,8,2,4,2
860,Canada,3,3,8,14,2000-01-01,307,75,106,126
859,Belarus,3,3,11,17,2000-01-01,36,4,11,21
858,Kazakhstan,3,4,0,7,2000-01-01,23,7,10,6
857,Ukraine,3,10,10,23,2000-01-01,49,13,13,23
840,Australia,16,25,17,58,2000-01-01,337,98,106,133
841,Germany,13,17,26,56,2000-01-01,692,215,233,244
842,France,13,14,11,38,2000-01-01,649,200,207,242
844,Netherlands,12,9,4,25,2000-01-01,277,82,90,105
845,Cuba,11,11,7,29,2000-01-01,137,55,44,38
846,Great Britain,11,10,7,28,2000-01-01,667,192,243,232
847,Romania,11,6,9,26,2000-01-01,266,74,83,109
876,Mexico,1,2,3,6,2000-01-01,47,10,15,22
848,Republic of Korea,8,10,10,28,2000-01-01,170,55,55,60
850,Poland,6,5,3,14,2000-01-01,253,60,75,118
851,Japan,5,8,5,18,2000-01-01,329,106,106,117
852,Bulgaria,5,6,2,13,2000-01-01,197,49,82,66
853,Greece,4,6,3,13,2000-01-01,91,25,35,31
854,Sweden,4,5,3,12,2000-01-01,561,172,182,207
855,Norway,4,3,3,10,2000-01-01,367,128,130,109
856,Ethiopia,4,1,3,8,2000-01-01,24,12,2,10
849,Hungary,8,6,3,17,2000-01-01,441,149,133,159
839,People's Republic of China,28,16,14,58,2000-01-01,236,80,89,67
877,Nigeria,1,2,0,3,2000-01-01,17,3,7,7
879,Uzbekistan,1,1,2,4,2000-01-01,7,2,2,3
902,Uruguay,0,1,0,1,2000-01-01,10,2,2,6
903,Vietnam,0,1,0,1,2000-01-01,1,0,1,0
904,Georgia,0,0,6,6,2000-01-01,8,0,0,8
905,Costa Rica,0,0,2,2,2000-01-01,4,1,1,2
906,Portugal,0,0,2,2,2000-01-01,17,3,4,10
907,Armenia,0,0,1,1,2000-01-01,3,1,1,1
908,Barbados,0,0,1,1,2000-01-01,1,0,0,1
909,Chile,0,0,1,1,2000-01-01,9,0,6,3
910,Iceland,0,0,1,1,2000-01-01,3,0,1,2
911,India,0,0,1,1,2000-01-01,16,8,3,5
912,Israel,0,0,1,1,2000-01-01,4,0,1,3
913,Kuwait,0,0,1,1,2000-01-01,1,0,0,1
914,Kyrgyzstan,0,0,1,1,2000-01-01,1,0,0,1
915,North Macedonia,0,0,1,1,2000-01-01,1,0,0,1
916,Qatar,0,0,1,1,2000-01-01,2,0,0,2
901,Sri Lanka,0,1,0,1,2000-01-01,2,0,2,0
